Ticker,Name,Sector,Industry,Country
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,United States
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,United States
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,United States
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,United States
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,United States
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,United States
TSLA,Tesla Inc. Common Stock,Consumer Discretionary,Auto Manufacturing,United States
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States
V,Visa Inc.,Consumer Discretionary,Business Services,United States
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities,United States
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks,United States
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,United States
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,United States
XOM,Exxon Mobil Corporation Common Stock,Energy,Oil & Gas Production,United States
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Business Services,United States
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics,United States
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials,United States
ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,United States
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,United States
